batch,question,metric,score,threshold,reason
2,"What is the formula for Scaled Dot-Product Attention, and why is the scaling factor needed from my pdf?",Contextual Precision,0.0,0.7,"The score is 0.00 because ""no retrieval nodes were provided"", leaving no relevant nodes to be ranked above any irrelevant ones."
2,"What is the formula for Scaled Dot-Product Attention, and why is the scaling factor needed from my pdf?",Contextual Recall,0.0,0.7,The score is 0.00 because both sentences in the expected output (sentences 1 and 2) cannot be linked to any node in retrieval context (0 nodes available).
2,"How many attention heads are used in the base Transformer model, and what are the per-head dimensions from my pdf?",Faithfulness,0.3333333333333333,0.7,"The score is 0.33 because the actual output incorrectly claims the model has 12 attention heads per layer, whereas the retrieval context clearly states it uses only 2 heads per layer."
2,"How many attention heads are used in the base Transformer model, and what are the per-head dimensions from my pdf?",Contextual Precision,0.0,0.7,"The score is 0.00 because every retrieved node is irrelevant: node 1 says ""...base model"" with 2 heads, node 2 mentions only 2 heads, node 3 talks about 4 heads, node 4 describes 4 layers with 4 heads, and node 5 gives 8 heads but only 32‑dim per head. Since no relevant information appears at any rank, contextual precision cannot be higher than zero."
2,"How many attention heads are used in the base Transformer model, and what are the per-head dimensions from my pdf?",Contextual Recall,0.0,0.7,The score is 0.00 because the sole sentence (sentence 1) cannot be linked to any node in the retrieval context; none of the nodes mention 8 parallel heads with key/value dimensions of 64.
5,"What two types of regularization were applied during training, and what values were used from my pdf?",Faithfulness,0.6666666666666666,0.7,"The score is 0.67 because the actual output incorrectly states that only two regularization techniques were used, contradicting the retrieval context which specifies three types of regularization were employed."
7,"Combining the main translation results with the model variation study, what do the authors conclude about model size and dropout from my pdf?",Answer Relevancy,0.0,0.7,"The score is 0.00 because the response only said there is insufficient information and gave no conclusion about model size or dropout, making it completely irrelevant to the question."
7,"Combining the main translation results with the model variation study, what do the authors conclude about model size and dropout from my pdf?",Contextual Precision,0.0,0.7,"The score is 0.00 because there are no retrieval contexts at all—no nodes were provided, so there are no relevant items to rank above any irrelevant ones."
7,"Combining the main translation results with the model variation study, what do the authors conclude about model size and dropout from my pdf?",Contextual Recall,0.0,0.7,"The score is 0.00 because the sole sentence cannot be linked to any node in retrieval context, as there are no nodes to attribute it to."
7,"What task besides machine translation was the Transformer applied to, and how did it perform compared to prior approaches from my pdf?",Contextual Precision,0.25,0.7,"The score is 0.25 because the only relevant node (node 4) appears after several irrelevant nodes. Nodes 1, 2, 3 and 5 are irrelevant – e.g., node 1 says “The text only discusses English‑French translation BLEU scores… which is unrelated to constituency parsing,” node 2 repeats translation‑focused information, node 3 “describes machine‑translation results… without any reference to parsing,” and node 5 talks about “future applications to other modalities… and does not mention constituency parsing.” Since the relevant node is ranked fourth, the contextual precision is low."
7,"What task besides machine translation was the Transformer applied to, and how did it perform compared to prior approaches from my pdf?",Contextual Recall,0.5,0.7,"The score is 0.50 because sentence 1 is partially grounded: node 4 in the retrieval context supports the claims about no task‑specific tuning, the RNN‑Grammar exception, and the WSJ‑only and semi‑supervised settings, but no node mentions applying the Transformer to English constituency parsing or the Penn Treebank, leaving a key part unsupported."
